Datum,Gewinner,Verlierer
2024-03-17,Stiebt vom Kasbek kalt der Schnee@Liederbock,Steuermann hoo!@Liederbock
2024-03-17,Staubiger Straßen weißes Band@Liederbock,Taivas on sininen@Liederbock
2024-03-18,Tau vor Tag@Liederbock,Trumradibum@Liederbock
2024-03-18,Tsu mir is gekumen a kusine@Liederbock,Tsching Tsching bum bum@Liederbock
2024-03-18,Und wir kauern wieder um die heiße Glut@Liederbock,Und als begann der dritte Krieg@Liederbock
2024-03-18,Weile an dieser Quelle@Liederbock,Uns jungen Mannen@Liederbock
2024-03-19,Endlos lang zieht sich die Straße@Liederbock,Seit Tagen schon wandern wir@Doppelbock
2024-03-19,Einst warf ich mich ins volle Leben@Liederbock,Eiris sazun idisi@Liederbock
2024-03-19,Ein stolzes Schiff@Liederbock,Einst fragt ich nach des Lebens Sinn@Liederbock
2024-03-19,Warum zögerst du noch@Liederbock,Du machst Kleinholz@Liederbock
2024-03-19,Drei Zigeuner@Liederbock,Drei Tropfen Blut@Liederbock
2024-03-19,Dort drunt im schönen Ungarland@Liederbock,Dort unten im Gradental@Liederbock
2024-03-19,Dort an dem Üferchen@Liederbock,Dingeding dong dong@Liederbock
2024-03-20,Die Straße gleitet fort und fort@Liederbock,Die Mazurka@Liederbock
2024-03-20,Die Lappen hoch@Liederbock,Endlich trocknet der Landstrasse Saum@Liederbock
2024-03-20,Die Kirschen sind reif@Liederbock,Zogen viele Straßen@Liederbock
2024-03-20,Was gehn euch meine Lumpen an@Liederbock,"Es, es, es und es@Liederbock"
2024-03-20,Was kann ich denn dafür@Liederbock,"Wanderer, lobe den Herren@Liederbock"
2024-03-20,Von Sonn' und Kessel schwarzgebrannt@Liederbock,Was ließen jene@Liederbock
2024-03-20,Von der Festung dröhnt@Liederbock,Viva la feria@Liederbock
2024-03-20,Wenn die Bürger schlafen gehn@Liederbock,viel schnee liegt auf den straßen@Liederbock
2024-03-21,Die Bauern wollten Freie sein@Sankt Georg,Der Winter ist gekommen@Liederbock
2024-03-21,Der Frühling braust@Liederbock,Der Geist ist müd@Liederbock
2024-03-21,Der lang genug mit viel Bedacht@Liederbock,Der Mond ist aufgegangen@Liederbock
2024-03-22,Der Papst@Liederbock,Der Nebel dämpft das Morgenlicht@Liederbock
2024-03-22,Der Tod reit' auf einem kohlschwarten Rappen@Liederbock,Der Tag entgleitet schattensacht@Liederbock
2024-03-22,Der Winter dahin@Liederbock,Die blauen Dragoner@Liederbock
2024-03-22,Die Dämmerung fällt@Liederbock,Dämmert von fern@Liederbock
2024-03-22,Zogen einst fünf wilde Schwäne@Liederbock,Die Klampfen erklingen@Liederbock
2024-03-22,"Zelte sah ich, Pferde, Fahnen@Liederbock",Ziehen die Straßen dahin@Liederbock
2024-03-22,Ye Jacobites@Liederbock,Durchs Tor der goldenen Glocke@Liederbock
2024-03-22,War einst ein Karmeliter@Liederbock,Sturm bricht los@Liederbock
2024-03-22,Dämmerung fällt@Liederbock,Zogen der Ungarn stämmige Husaren@Liederbock
2024-03-23,An den Flammen zusammengerückt@Liederbock,Ich fahr dahin@Zupfgeigenhansel
2024-03-23,Ach wie eilte so geschwinde@Liederbock,Es wollt' ein Mägdlein früh aufstehn@Zupfgeigenhansel
2024-03-23,Ade zur guten Nacht@Liederbock,"Alle, die mit uns auf Kaperfahrt@Liederbock"
2024-03-23,Als wir jüngst verschütt jegangen waren@Liederbock,Am Ural@Liederbock
2024-03-23,Am Wald in der Schenke@Liederbock,Am Westermanns Lönstief@Liederbock
2024-03-23,Aber am Abend laden wir uns ein@Liederbock,Allzeit bereit@Liederbock
2024-03-24,Vom Barette schwankt die Feder@hell klingen unsere Lieder (BW),a est u nas v rajone moldavanki@Doppelbock
2024-03-24,Bei Regen oder Sonnenschein@Liederbock,Auf vielen Straßen@Liederbock
2024-03-24,"Andere, die das Land, so sehr nicht liebten@Liederbock",An ihrer Schulter@Liederbock
2024-03-24,Bay Mayn Rebn@Liederbock,The Yew Tree@Doppelbock
2024-03-24,Wenn die Landsknecht trinken@Sankt Georg,Abends geh'n die Liebespaare@Doppelbock
2024-03-25,"Hei, wie vorn der Fetzen fliegt@Liederbock",Hier wächst kein Ahorn@Liederbock
2024-03-25,'Twas down the glen@Liederbock,Turm@Liederbock
2024-03-25,Es wird scho glei dumpa@Echte Tiroler Lieder,"Ach Gott, wie weh tut Scheiden@Zupfgeigenhansel"
