Liedanfang,Quelle,Seite,Videolink,Bewerten
The Wellerman,unbekannt,,https://www.youtube.com/embed/qP-7GNoDJ5c?si=mdOiRq8WhQkka_vY,1
Das Trinken,unbekannt,,https://www.youtube.com/embed/Z4R2A2WNO-4?si=thbrr7qtgYkmqAn9,1
Und wenn wir marschieren,unbekannt,,https://www.youtube.com/embed/yRUTJioWJiw?si=F3dF53A1HXIjZ9m1,0
Rosestock Holderblüh,Deutscher Liederhort II,,https://www.youtube.com/embed/m8a88tWeCGA?si=gLlmVF0fW4QRFwQe,1
Es dunkelt schon in der Heide,unbekannt,,https://www.youtube.com/embed/j-jkeWuiLA4?si=hRhstDyrAyclO8xB,1
