Liedanfang,Quelle,Seite,Videolink,Bewerten
Muß i denn,Die Fanfare,15,https://www.youtube.com/embed/1CIimgUq7ic?si=tNOe_CEaRokqKSMN,1
Wir traben in die Weite,Die Fanfare,126,https://www.youtube.com/embed/iuhcs6rf41g?si=2XuJmiCebIGKkbw1,1
Das Leben ist ein Würfelspiel,Die Fanfare,145,https://www.youtube.com/embed/TXB7k1YFq6o?si=Ju1rO8kMT0NjmgJ7,1
Wenn die Landsknecht trinken,Die Fanfare,159,https://www.youtube.com/embed/t0TDmv3P0Cs?si=yzgq8vY0gQZF8V9Z,1
Die Bauern wollten Freie sein,Die Fanfare,161,https://www.youtube.com/embed/g59J6TS_1Lg?si=aMjtn9-ZrrMNIXKZ,1
Weit lasst die Fahnen wehen,Die Fanfare,168,https://www.youtube.com/embed/LRCuczLEgQY?si=TiAwtEjm97CnQya6,1
Unser liebe Fraue,Die Fanfare,171,https://www.youtube.com/embed/3H_mNXda4rE?si=cg5SEiQ-h5Ee6zl5,1
