Liedanfang,Quelle,Seite,Videolink,Bewerten
Nachtigall ich hör dich singen,Zupfgeigenhansel,36,https://www.youtube.com/embed/F90IGFvzv7Q?si=eQEaVrG_z3gztaLy,1
Es saß ein klein wild Vögelein,Zupfgeigenhansel,36,https://www.youtube.com/embed/u9bupwG2Ph8?si=OqkJ-swM8dPpv3-P,0
Es wollte sich einschleichen,Zupfgeigenhansel,37,https://www.youtube.com/embed/43-CmlobQuY?si=FwTrJUIZYCxAlZ2J,1
Wenn ich auf Amorbach geh,Zupfgeigenhansel,38,https://www.youtube.com/embed/hXR4pd79gYI?si=73PO25IjXqvmC8Cr,1
Ich wollt gern singen,Zupfgeigenhansel,38,https://www.youtube.com/embed/XiA6eezMIj0?si=Nr8ZIL8mTHbZ2H6M,1
s isch no nit lang,Zupfgeigenhansel,39,https://www.youtube.com/embed/lZYuVz7uYgE?si=lEtQ9E0JUbPZoWYE&amp;start=26,1
Es Buerbüebli mag i ned,Zupfgeigenhansel,40,https://www.youtube.com/embed/Nz-VDMYNSGM?si=iRJVHiOwa9geAree,1
Es wollt ein Jägerlein jagen,Zupfgeigenhansel,40,https://www.youtube.com/embed/vQ08U6p4sjM?si=zioZBW3S2FtKzWf6,1
Gestern bei Mondenschein ging ich spazieren,Zupfgeigenhansel,41,https://www.youtube.com/embed/koOaUCLipTQ?si=o4xodYKxnvPj0ULN,1
Auf dieser Welt hab ich kein Freud,Zupfgeigenhansel,42,https://www.youtube.com/embed/SrtN8M5P_7k?si=6wDQ6VikgXpRU9j2,1
So grün als ist die Heiden,Zupfgeigenhansel,42,https://www.youtube.com/embed/UN_RyEvSG9A?si=5FS3xxEzD8EAKXJK,1
Frau Nachtigall kleins Vögelein,Zupfgeigenhansel,43,https://www.youtube.com/embed/yB2C1xn6mMI?si=2nsWorE6LZRwGyb6,1
Wenn alle Brünnlein fließen,Zupfgeigenhansel,44,https://www.youtube.com/embed/SQ05WgVr8_4?si=mt4_r9fGwb0f0Rtc,1
Es wollt' ein Mägdlein früh aufstehn,Zupfgeigenhansel,135,https://www.youtube.com/embed/US6OUoKeKT0?si=RpD9Bh8Pz0XDq56t,1
